Date,Precipitation,MeanTemp
1990-01-01,207.07,24.93
1990-02-01,136.06,25.47
1990-03-01,155.24,25.72
1990-04-01,267.98,26.29
1990-05-01,302.65,26.16
1990-06-01,204.69,26.08
1990-07-01,132.84,25.48
1990-08-01,178.95,25.83
1990-09-01,210.61,25.47
1990-10-01,239.37,25.54
1990-11-01,343.5,25.17
1990-12-01,405.93,25.24
1991-01-01,158.36,25.32
1991-02-01,147.77,25.32
1991-03-01,137.33,25.81
1991-04-01,150.59,25.97
1991-05-01,279.42,26.01
1991-06-01,193.47,26.41
1991-07-01,176.08,25.95
1991-08-01,188.69,25.77
1991-09-01,211.64,25.61
1991-10-01,290.61,25.21
1991-11-01,318.44,24.88
1991-12-01,337.75,24.98
1992-01-01,196.66,24.99
1992-02-01,119.8,25.24
1992-03-01,254.55,26.03
1992-04-01,196.2,26.42
1992-05-01,278.01,26.1
1992-06-01,151.11,25.85
1992-07-01,226.37,25.34
1992-08-01,202.28,25.88
1992-09-01,230.82,25.53
1992-10-01,310.61,25.15
1992-11-01,344.66,24.7
1992-12-01,435.64,24.84
1993-01-01,227.07,24.93
1993-02-01,220.97,24.91
1993-03-01,375.67,25.25
1993-04-01,226.88,25.74
1993-05-01,281.65,25.89
1993-06-01,242.73,26.07
1993-07-01,110.74,25.57
1993-08-01,291.38,25.71
1993-09-01,171.57,25.25
1993-10-01,292.13,25.26
1993-11-01,340.66,25.26
1993-12-01,318.23,25.21
1994-01-01,239.15,25.26
1994-02-01,229.57,25.32
1994-03-01,226.67,25.13
1994-04-01,235.58,25.85
1994-05-01,244.27,25.92
1994-06-01,216.04,25.68
1994-07-01,252.97,25.87
1994-08-01,361.84,25.41
1994-09-01,252.9,25.7
1994-10-01,336.91,25.3
1994-11-01,328.01,25.19
1994-12-01,430.66,25.45
1995-01-01,352.03,25.32
1995-02-01,278.59,25.08
1995-03-01,195.96,25.54
1995-04-01,287.26,26.07
1995-05-01,193.22,26.23
1995-06-01,243.57,26.2
1995-07-01,166.02,25.58
1995-08-01,286.57,25.31
1995-09-01,236.91,25.6
1995-10-01,347.46,25.58
1995-11-01,301.31,25.16
1995-12-01,425.94,24.84
1996-01-01,148.13,24.57
1996-02-01,351.08,24.66
1996-03-01,119.68,25.69
1996-04-01,245.67,25.93
1996-05-01,219,26.19
1996-06-01,143.5,25.91
1996-07-01,216.9,25.99
1996-08-01,136.23,25.47
1996-09-01,173.07,25.72
1996-10-01,248.78,25.26
1996-11-01,319.75,25.22
1996-12-01,289.15,24.82
1997-01-01,156.9,24.97
1997-02-01,73.23,24.97
1997-03-01,103.16,25.85
1997-04-01,153.56,25.79
1997-05-01,212.78,26.23
1997-06-01,218.55,26.24
1997-07-01,245.53,25.97
1997-08-01,367.2,26.35
1997-09-01,243.29,25.82
1997-10-01,317.48,25.64
1997-11-01,314.64,25.62
1997-12-01,400.77,25.8
1998-01-01,359.6,26.16
1998-02-01,298.6,26.4
1998-03-01,332.71,26.64
1998-04-01,229.08,26.82
1998-05-01,270.34,27.18
1998-06-01,176.21,26.37
1998-07-01,149.08,25.98
1998-08-01,254.06,25.67
1998-09-01,264.02,25.95
1998-10-01,405.51,25.92
1998-11-01,382.98,25.56
1998-12-01,431.58,25.23
1999-01-01,328.73,25.26
1999-02-01,346.99,25.11
1999-03-01,307.54,25.64
1999-04-01,329.59,26.09
1999-05-01,195.11,25.74
1999-06-01,259.31,25.91
1999-07-01,124.72,25.76
1999-08-01,220.02,25.54
1999-09-01,272.66,25.66
1999-10-01,336.94,25.28
1999-11-01,318.81,25.35
1999-12-01,363.82,24.96
2000-01-01,422.69,25.15
2000-02-01,235.91,25.1
2000-03-01,297.47,25.64
2000-04-01,288.22,25.74
2000-05-01,150.48,26.38
2000-06-01,180.35,25.6
2000-07-01,151.69,26.13
2000-08-01,165.07,25.69
2000-09-01,268.26,25.68
2000-10-01,333.13,25.69
2000-11-01,303.86,25.47
2000-12-01,289.78,25.63
2001-01-01,209.59,25.21
2001-02-01,120.86,25.31
2001-03-01,209.87,25.73
2001-04-01,266.69,26.07
2001-05-01,205.02,26.45
2001-06-01,192.77,25.86
2001-07-01,158.37,26.18
2001-08-01,236.78,26.11
2001-09-01,253.06,25.8
2001-10-01,248.57,25.62
2001-11-01,347.3,25.32
2001-12-01,321.06,25.43
2002-01-01,315.75,25.4
2002-02-01,169.26,25.34
2002-03-01,284.79,26.02
2002-04-01,242.73,26.33
2002-05-01,216.56,26.65
2002-06-01,211.31,26.27
2002-07-01,234.92,26.38
2002-08-01,229.84,25.87
2002-09-01,213.23,25.66
2002-10-01,373.23,25.74
2002-11-01,339.71,25.55
2002-12-01,419.07,26.03
2003-01-01,304.07,25.5
2003-02-01,134.8,25.55
2003-03-01,220.85,25.86
2003-04-01,199.95,26.17
2003-05-01,313.4,26.56
2003-06-01,142.78,26.05
2003-07-01,232.92,25.65
2003-08-01,144.86,26.05
2003-09-01,267.49,25.74
2003-10-01,276.78,25.3
2003-11-01,310.09,25.39
2003-12-01,359.98,25.07
2004-01-01,182.62,25.41
2004-02-01,116.78,25.4
2004-03-01,230.22,26.04
2004-04-01,151.03,26.48
2004-05-01,283.37,26.24
2004-06-01,229.11,26.21
2004-07-01,206.16,25.32
2004-08-01,213.21,26.05
2004-09-01,206.46,25.35
2004-10-01,348.44,25.32
2004-11-01,328.23,25.36
2004-12-01,451.3,25.15
2005-01-01,333.52,25.17
2005-02-01,256.92,25.8
2005-03-01,229.27,25.85
2005-04-01,276.97,26.36
2005-05-01,331.15,26.11
2005-06-01,248.3,26.1
2005-07-01,161.95,25.73
2005-08-01,238.24,26.04
2005-09-01,243.48,25.97
2005-10-01,240.55,25.44
2005-11-01,255.27,25.21
2005-12-01,425.22,24.98
2006-01-01,422.41,25.23
2006-02-01,235.02,25.41
2006-03-01,223.65,25.82
2006-04-01,259.31,25.77
2006-05-01,233.05,25.65
2006-06-01,273.42,25.58
2006-07-01,277.93,26.12
2006-08-01,219.04,25.88
2006-09-01,261.68,25.42
2006-10-01,300.51,25.53
2006-11-01,293.7,25.49
2006-12-01,378.79,25.73
2007-01-01,278.68,25.15
2007-02-01,339.68,25.27
2007-03-01,397.06,25.77
2007-04-01,274.83,26.02
2007-05-01,232.73,26.23
2007-06-01,235.39,25.9
2007-07-01,257.5,25.64
2007-08-01,299.96,25.68
2007-09-01,248.99,25.52
2007-10-01,402.72,25.52
2007-11-01,365.95,24.93
2007-12-01,387.45,25.17
2008-01-01,596.28,25.25
2008-02-01,299.03,24.72
2008-03-01,367.42,25.01
2008-04-01,272.32,25.62
2008-05-01,236.06,25.82
2008-06-01,142.3,25.5
2008-07-01,157.82,25.31
2008-08-01,241.51,25.59
2008-09-01,183.88,25.6
2008-10-01,285.2,25.54
2008-11-01,348.25,25.35
2008-12-01,367.69,25.17
2009-01-01,283.79,24.68
2009-02-01,110.53,25.25
2009-03-01,179.6,25.38
2009-04-01,239.38,26.09
2009-05-01,300.66,26.11
2009-06-01,257.89,26.32
2009-07-01,292.63,25.82
2009-08-01,314.75,26.01
2009-09-01,314.92,26.06
2009-10-01,225.05,25.69
2009-11-01,374.29,25.37
2009-12-01,388.28,25.34
2010-01-01,481.43,25.37
2010-02-01,293.49,25.96
2010-03-01,412.57,26.25
2010-04-01,236.09,26.54
2010-05-01,262.38,26.76
2010-06-01,233.39,26.12
2010-07-01,132.36,25.39
2010-08-01,223.5,25.69
2010-09-01,189.53,25.59
2010-10-01,318.04,25.6
2010-11-01,336.06,25.29
2010-12-01,421.38,24.99
2011-01-01,344.07,24.87
2011-02-01,270.42,25.02
2011-03-01,306.24,25.13
2011-04-01,309.27,25.77
2011-05-01,249.63,25.98
2011-06-01,137.6,26.08
2011-07-01,228.3,25.97
2011-08-01,210.77,25.91
2011-09-01,200.08,25.78
2011-10-01,294.18,25.52
2011-11-01,388.08,25.6
2011-12-01,404.94,25.36
2012-01-01,275.34,25.43
2012-02-01,310.58,25.46
2012-03-01,180.84,25.6
2012-04-01,263.76,25.87
2012-05-01,272.8,26.25
2012-06-01,142.61,26.29
2012-07-01,179.43,25.67
2012-08-01,248.55,25.88
2012-09-01,251.06,25.82
2012-10-01,281.65,25.67
2012-11-01,340,25.61
2012-12-01,475.48,25.71
2013-01-01,352.3,25.65
2013-02-01,107.01,25.43
2013-03-01,129.98,26.37
2013-04-01,179.18,26.37
2013-05-01,274.66,26.37
2013-06-01,139.21,26.58
2013-07-01,179.06,25.79
2013-08-01,314.77,25.88
2013-09-01,188.8,25.74
2013-10-01,289.12,25.46
2013-11-01,343.29,25.46
2013-12-01,438.79,25.34
2014-01-01,356.25,24.46
2014-02-01,145.33,25.21
2014-03-01,116.58,25.86
2014-04-01,228.24,26.28
2014-05-01,201.28,26.38
2014-06-01,212.03,26.77
2014-07-01,166.33,26.12
2014-08-01,239.56,25.54
2014-09-01,159.82,25.88
2014-10-01,224.25,25.66
2014-11-01,393.91,25.67
2014-12-01,339.59,25.5
2015-01-01,195.12,24.96
2015-02-01,214.07,25.19
2015-03-01,173.44,25.93
2015-04-01,190.14,26.4
2015-05-01,273.89,26.63
2015-06-01,207.77,26.51
2015-07-01,236.33,26.4
2015-08-01,212.13,25.99
2015-09-01,238.57,26.19
2015-10-01,295.12,26.1
2015-11-01,343.49,25.76
2015-12-01,383.27,26.02
2016-01-01,332.09,26.18
2016-02-01,287.61,26.07
2016-03-01,281.49,26.62
2016-04-01,266.21,27.09
2016-05-01,246.43,26.93
2016-06-01,136.15,26.29
2016-07-01,195.24,26.18
2016-08-01,314.97,26.6
2016-09-01,293.75,25.96
2016-10-01,270.12,26.06
2016-11-01,376.12,25.78
2016-12-01,417.85,25.81
2017-01-01,450.84,25.71
2017-02-01,275.37,25.37
2017-03-01,248.24,25.64
2017-04-01,245.89,26.06
2017-05-01,284.1,26.42
2017-06-01,227.14,26.07
2017-07-01,171.41,26.39
2017-08-01,156.53,25.81
2017-09-01,236.33,25.78
2017-10-01,313.76,25.86
2017-11-01,332.78,25.57
2017-12-01,411.62,25.52
2018-01-01,245.36,25.06
2018-02-01,127.73,25.23
2018-03-01,125.16,25.91
2018-04-01,212.4,26.35
2018-05-01,241.92,26.2
2018-06-01,267.43,26.08
2018-07-01,164.94,26.37
2018-08-01,162.74,26.44
2018-09-01,170.83,25.62
2018-10-01,295.88,25.72
2018-11-01,278.46,25.9
2018-12-01,424.16,25.85
2019-01-01,169.05,25.95
2019-02-01,152.38,25.87
2019-03-01,197.96,26.32
2019-04-01,258.45,26.85
2019-05-01,273.59,26.88
2019-06-01,300.48,26.44
2019-07-01,295.1,26.2
2019-08-01,217.57,26.29
2019-09-01,314.51,26.15
2019-10-01,290.01,25.67
2019-11-01,400.97,25.86
2019-12-01,368.98,25.58
